                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 2.2141,                 1.4748,                 1.1745,                0.63534,                0.12792,                0.10725,                0.05675,                 2.9227,                 1.9034,                 1.3572,               0.007822,               0.007822,               0.007822
                     68,                 2.2088,                 1.4544,                 1.1632,                0.63944,                 0.1291,                0.10837,                 0.0573,                 2.9257,                 1.9041,                 1.3585,               0.007789,               0.007789,               0.007789
                     69,                 2.1797,                 1.4628,                 1.1683,                 0.1376,                0.12961,                0.11019,                0.05847,                 2.9215,                 1.9029,                 1.3543,               0.007756,               0.007756,               0.007756
                     70,                 2.1397,                 1.4721,                 1.1783,                0.14975,                0.12296,                0.11141,                0.05906,                 2.9188,                  1.905,                 1.3514,               0.007723,               0.007723,               0.007723
                     71,                 2.1931,                 1.4628,                 1.1655,                0.15132,                0.12239,                0.11371,                 0.0603,                 2.9184,                 1.8985,                 1.3487,                0.00769,                0.00769,                0.00769
                     72,                 2.2109,                 1.4375,                 1.1652,                0.15512,                0.12076,                  0.114,                0.06034,                 2.9177,                 1.9025,                 1.3474,               0.007657,               0.007657,               0.007657
                     73,                 2.1872,                 1.4454,                  1.172,                0.15614,                0.12087,                 0.1145,                0.06093,                 2.9155,                 1.8988,                 1.3442,               0.007624,               0.007624,               0.007624
                     74,                 2.1841,                 1.4522,                 1.1713,                0.15014,                0.12408,                0.11472,                0.06087,                 2.9152,                 1.8939,                 1.3429,               0.007591,               0.007591,               0.007591
                     75,                 2.1461,                 1.4442,                 1.1635,                 0.1512,                0.12397,                0.11617,                0.06177,                 2.9156,                 1.8934,                 1.3432,               0.007558,               0.007558,               0.007558
                     76,                 2.2016,                  1.439,                 1.1591,                0.14847,                0.12662,                0.11685,                0.06224,                 2.9138,                    1.9,                 1.3418,               0.007525,               0.007525,               0.007525
                     77,                 2.1817,                 1.4046,                 1.1626,                0.14389,                 0.1304,                0.11671,                0.06235,                 2.9121,                 1.9023,                 1.3419,               0.007492,               0.007492,               0.007492
                     78,                 2.1606,                 1.4384,                 1.1693,                0.14605,                0.12831,                0.11618,                 0.0621,                 2.9129,                  1.903,                 1.3418,               0.007459,               0.007459,               0.007459
                     79,                 2.2012,                 1.4176,                 1.1461,                0.14441,                 0.1304,                0.11699,                0.06271,                 2.9138,                 1.8965,                  1.342,               0.007426,               0.007426,               0.007426
                     80,                 2.1741,                 1.4393,                 1.1791,                0.15145,                0.12555,                0.11694,                0.06283,                 2.9139,                 1.8977,                 1.3432,               0.007393,               0.007393,               0.007393
                     81,                 2.1706,                 1.4163,                 1.1573,                0.14397,                0.12764,                0.11613,                0.06232,                 2.9144,                 1.9018,                  1.344,                0.00736,                0.00736,                0.00736
                     82,                 2.1421,                 1.3842,                 1.1552,                0.14344,                0.12888,                0.11617,                0.06244,                 2.9143,                 1.9033,                 1.3439,               0.007327,               0.007327,               0.007327
                     83,                 2.1279,                 1.4031,                  1.161,                0.14349,                0.12955,                 0.1163,                0.06246,                  2.915,                 1.9062,                 1.3443,               0.007294,               0.007294,               0.007294
                     84,                 2.1521,                 1.4063,                 1.1683,                 0.1375,                0.13502,                0.11622,                0.06235,                 2.9151,                 1.9121,                 1.3449,               0.007261,               0.007261,               0.007261
                     85,                 2.1706,                 1.4111,                 1.1581,                0.13807,                0.13406,                0.11633,                0.06252,                  2.915,                 1.9109,                 1.3453,               0.007228,               0.007228,               0.007228
